phone number,id
6946565921,1
6947065407,1
6910287400,1
6971930568,2
6902767779,2
6980956510,3
6991185457,4
6966700820,4
6925591744,4
6948491903,5
6979743298,5
6972901352,6
6977263517,6
6963708865,6
6987722851,7
6994759278,7
6959147129,8
6998227225,8
6971768643,8
6968568081,9
6969155527,9
6921779891,9
6977598701,10
6914281097,10
6996989930,11
6958398048,11
6983967492,11
6957025957,11
6904582454,12
6948985587,12
6940443515,12
6905566465,13
6902242030,13
6985256640,13
6986860743,13
6979069515,14
6946786769,14
6974688572,15
6975317909,15
6970791850,16
6954224082,16
6943491020,16
6932544667,16
6986684832,17
6975901504,18
6937411173,18
6947606216,19
6905544575,19
6935175361,20
6949338342,20
6943984139,20
6969836742,20
6943494497,21
6971968543,21
6968568476,21
6997819761,22
6912563456,22
6971922363,22
6992945380,23
6905094851,24
6970826405,24
6946776204,24
6966038583,24
6931677379,25
6901443758,25
6901562680,25
6964868881,26
6984234781,26
6919295283,27
6970348382,27
6933451838,27
6955055728,27
6927063810,28
6965958797,29
6951428769,30
